[2024-05-18 16:25:48,063: INFO: main: welcome to our custom logging]
[2024-05-23 13:09:22,630: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-23 13:09:22,633: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-23 13:10:25,267: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-23 13:10:25,269: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-23 13:10:59,500: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-23 13:10:59,503: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-23 13:12:41,061: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-23 13:12:41,063: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-23 13:12:46,424: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-23 13:12:46,425: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-23 17:56:17,832: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-23 17:56:17,834: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-23 17:56:17,836: INFO: common: created directory at: artifacts]
[2024-05-23 17:56:17,836: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-23 17:56:21,112: INFO: 1434958058: artifacts/data_ingestion/data.zip download! with following info: 

